Gmt time,Open,High,Low,Close,Volume
11.07.2012 00:00:00.000,1571.220,1583.152,1566.886,1576.774,489898193.3594
12.07.2012 00:00:00.000,1576.799,1577.052,1554.944,1568.552,585906799.3164
13.07.2012 00:00:00.000,1568.552,1596.752,1567.415,1588.100,135837295.5322
14.07.2012 00:00:00.000,1588.100,1588.100,1588.100,1588.100,0
15.07.2012 00:00:00.000,1588.600,1592.670,1588.000,1590.797,170594192.5049
16.07.2012 00:00:00.000,1590.778,1594.853,1577.810,1590.334,579309692.3828
17.07.2012 00:00:00.000,1590.300,1599.003,1571.548,1584.227,750255493.1641
18.07.2012 00:00:00.000,1584.191,1585.964,1567.731,1573.752,414495147.7051
19.07.2012 00:00:00.000,1573.752,1591.523,1572.967,1583.924,494982727.0508
20.07.2012 00:00:00.000,1583.873,1587.152,1573.652,1583.600,81400703.4302
21.07.2012 00:00:00.000,1583.600,1583.600,1583.600,1583.600,0
22.07.2012 00:00:00.000,1583.600,1583.600,1579.073,1581.452,83673080.4443
23.07.2012 00:00:00.000,1581.452,1582.301,1563.185,1576.709,1608298217.7734
24.07.2012 00:00:00.000,1576.852,1584.363,1568.585,1580.195,454191650.3906
25.07.2012 00:00:00.000,1580.152,1610.414,1579.390,1602.583,1049706298.8281
26.07.2012 00:00:00.000,1602.602,1621.753,1601.245,1613.428,11635504882.8125
27.07.2012 00:00:00.000,1613.452,1629.483,1611.753,1622.700,2223152587.8906
28.07.2012 00:00:00.000,1622.700,1622.700,1622.700,1622.700,0
29.07.2012 00:00:00.000,1622.700,1626.114,1622.003,1622.967,22598899.8413
30.07.2012 00:00:00.000,1622.967,1625.033,1614.293,1621.303,391958465.5762
31.07.2012 00:00:00.000,1621.443,1627.983,1610.847,1613.106,444428314.209
01.08.2012 00:00:00.000,1613.071,1618.601,1591.916,1601.940,496886169.4336
02.08.2012 00:00:00.000,1601.973,1615.147,1584.553,1589.372,4836385253.9063
03.08.2012 00:00:00.000,1589.349,1606.723,1585.315,1601.200,55768001.5564
04.08.2012 00:00:00.000,1601.200,1601.200,1601.200,1601.200,0
05.08.2012 00:00:00.000,1602.900,1606.052,1601.300,1605.246,96877700.8057
06.08.2012 00:00:00.000,1605.352,1615.447,1603.630,1611.552,546695312.5
07.08.2012 00:00:00.000,1611.334,1618.452,1608.242,1610.613,495254608.1543
08.08.2012 00:00:00.000,1610.595,1616.783,1603.336,1612.352,464542022.7051
09.08.2012 00:00:00.000,1612.352,1618.352,1609.571,1616.452,325021881.1035
10.08.2012 00:00:00.000,1616.452,1626.533,1605.546,1619.500,105311897.2778
11.08.2012 00:00:00.000,1619.500,1619.500,1619.500,1619.500,0
12.08.2012 00:00:00.000,1619.400,1621.852,1618.300,1621.196,124658096.3135
13.08.2012 00:00:00.000,1621.221,1625.568,1607.427,1610.552,496930847.168
14.08.2012 00:00:00.000,1610.552,1616.263,1590.315,1600.252,807281555.1758
15.08.2012 00:00:00.000,1600.076,1606.463,1589.922,1603.948,585628112.793
16.08.2012 00:00:00.000,1603.893,1618.553,1600.806,1615.311,588872436.5234
